Ref,Val,Package,PosX,PosY,Rot,Side
"C104","100n","C_0603",-83.750000,-23.500000,270.000000,top
"C105","100n","C_0603",-81.750000,-32.500000,180.000000,top
"C106","100n","C_0603",-81.750000,-21.000000,180.000000,top
"C107","100n","C_0603",-78.750000,-34.000000,270.000000,top
"C108","100n","C_0603",-78.750000,-22.500000,270.000000,top
"C109","10µ","C_0805",-77.500000,-31.750000,0.000000,top
"C110","10µ","C_0805",-77.500000,-18.500000,0.000000,top
"C111","10µ","C_0805",-77.500000,-30.000000,0.000000,top
"C112","100n","C_0603",-9.250000,-1.500000,0.000000,top
"C113","100n","C_0603",-27.750000,-26.250000,270.000000,top
"C114","100n","C_0603",-6.000000,-20.250000,180.000000,top
"C115","100n","C_0603",-9.250000,-18.000000,180.000000,top
"C116","100n","C_0603",-27.750000,-42.750000,270.000000,top
"C117","100n","C_0603",-6.000000,-36.750000,180.000000,top
"C118","100n","C_0603",-9.250000,-34.500000,180.000000,top
"C119","100n","C_0603",-65.500000,-35.500000,0.000000,top
"C120","100n","C_0603",-86.250000,-39.250000,270.000000,top
"C121","100n","C_0603",-88.250000,-39.000000,0.000000,top
"C122","100n","C_0603",-91.250000,-37.500000,90.000000,top
"C123","10µ","C_0805",-92.500000,-39.750000,180.000000,top
"C124","10µ","C_0805",-92.500000,-41.500000,180.000000,top
"C125","100n","C_0603",-68.250000,-38.250000,0.000000,top
"C126","100n","C_0603",-68.250000,-39.500000,0.000000,top
"C127","100n","C_0603",-13.000000,-75.250000,180.000000,top
"C128","100n","C_0603",-11.000000,-66.250000,0.000000,top
"C129","2.2µ","C_0603",-31.750000,-68.000000,270.000000,top
"C130","100n","C_0603",-86.500000,-4.000000,0.000000,top
"C131","10µ","C_0805",-79.000000,-40.500000,90.000000,top
"C132","10µ","C_0805",-77.500000,-20.250000,0.000000,top
"C133","2.2µ","C_0603",-86.250000,-36.000000,90.000000,top
"C134","2.2µ","C_0603",-92.500000,-37.500000,90.000000,top
"C135","2.2µ","C_0603",-77.500000,-34.000000,270.000000,top
"C136","2.2µ","C_0603",-77.500000,-22.500000,270.000000,top
"C137","2.2µ","C_0603",-83.750000,-35.000000,270.000000,top
"C138","100n","C_0603",-77.250000,-92.500000,0.000000,top
"C139","2.2µ","C_0603",-76.250000,-11.250000,90.000000,top
"C140","2.2µ","C_0603",-77.500000,-11.250000,90.000000,top
"C141","2.2µ","C_0603",-26.500000,-78.000000,90.000000,top
"C142","2.2µ","C_0603",-78.750000,-11.250000,90.000000,top
"C144","2.2µ","C_0603",-75.000000,-11.250000,90.000000,top
"C145","10µ","C_0805",-8.500000,-82.250000,90.000000,top
"C147","100n","C_0603",-13.000000,-76.500000,0.000000,top
"D1","red","LED-0805-SIDE",-1.250000,-68.000000,270.000000,top
"D2","ES1J R2","SMA_Standard",-91.500000,-31.000000,90.000000,top
"D3","ES1J R2","SMA_Standard",-91.500000,-24.000000,90.000000,top
"D4","green","LED-0805-SIDE",-99.000000,-31.000000,90.000000,top
"D5","ES1J R2","SMA_Standard",-91.500000,-17.000000,90.000000,top
"D6","SS34A","SMA_Standard",-10.000000,-76.500000,90.000000,top
"D7","ES1J R2","SMA_Standard",-67.500000,-16.000000,270.000000,top
"D8","green","LED-0805-SIDE",-85.000000,-77.000000,90.000000,top
"D9","SS34A","SMA_Standard",-79.750000,-26.750000,0.000000,top
"D10","ES1J R2","SMA_Standard",-13.163492,-84.500000,45.000000,top
"D11","ES1J R2","SMA_Standard",-4.250000,-96.250000,0.000000,top
"D12","SS34A","SMA_Standard",-79.750000,-15.250000,0.000000,top
"D13","SS34A","SMA_Standard",-90.250000,-44.750000,180.000000,top
"D14","green","LED-0805-SIDE",-99.000000,-24.000000,90.000000,top
"D15","green","LED-0805-SIDE",-99.000000,-17.000000,90.000000,top
"D16","red","LED-0805-SIDE",-47.500000,-1.000000,0.000000,top
"D17","yellow","LED-0805-SIDE",-52.750000,-1.000000,0.000000,top
"D18","green","LED-0805-SIDE",-58.000000,-1.000000,0.000000,top
"D19","green","LED-0805-SIDE",-86.500000,-1.000000,0.000000,top
"D20","green","LED-0805-SIDE",-76.000000,-1.000000,0.000000,top
"D22","SMAJ24A TVS 24V","SMA_Standard",-96.250000,-2.250000,0.000000,top
"D24","green","LED-0805-SIDE",-99.000000,-8.000000,90.000000,top
"L1","220r 700mA","R_0603",-27.750000,-78.000000,270.000000,top
"L2","1m 250mA","NPI31W",-7.000000,-89.250000,0.000000,top
"L3","220r 700mA","R_0603",-65.500000,-38.000000,180.000000,top
"L4","10µH 1A","SMD_INDUCTOR_32x25",-6.500000,-78.500000,90.000000,top
