"Item","Qty","Reference(s)","Value","Footprint","Manufacturer","Manufacturer No","Source","Tolerance","Voltage"
"51","2","U6, U7","LM358","SOIC-8-N","Texas Instruments","LM358AD","","",""
"52","10","U8, U9, U10, U11, U14, U15, U16, U17, U18, U19","SN65176B","SOIC-8-N","Texas Instruments","SN65176B","","",""
"53","1","U12","IRAM256a","IRAM256","Infineon","IRAM256-2067A2","","",""
"54","4","U24, U30, U31, U32","non_plated","non_plated_3mm","","","","",""
"55","1","U25","STM32F303CBTx","LQFP-48_7x7mm_Pitch0.5mm","STMicroelectronics","STM32F303CBT","","",""
"56","1","U26","STM32F405VG","LQFP-100_14x14mm_Pitch0.5mm","STMicroelectronics","STM32F405VGT","","",""
"57","1","U33","heatsink","","alutronic","V PR138/94-M3","","",""
"58","1","U34","fan","","Sunon","MB45101V2-000U-A99","","","12V"
"59","1","VR1","24V","R_0805","","","","","24V"
"60","2","Y1, Y2","8M","Crystal_SMD_0503_4Pads","Abracon LLC","ABM3B-8.000MHZ-10-1UT","https://de.aliexpress.com/item/1LOT-10PCS-Crystal-8MHZ-20PF-20PPM-4P-5032-SeriesYSX531SL/32534814045.html","",""
